,Name,Entry No.,TimeStamp,Total Time,Status
0,ANhvQcqwtS,1827MWX4423,"( 11:13:06 AM,  12:24:55 PM, 1:11:49)",0 days 01:11:49.000000000,Present
1,ApjXFwquoy,,"( 10:57:43 AM,  10:59:07 AM, 0:01:24)( 10:59:07 AM,  12:24:29 PM, 1:25:22)",0 days 01:26:46.000000000,Present
2,BlUVnMBCyw,7077MOD4022,"( 11:02:50 AM,  11:03:01 AM, 0:00:11)",0 days 00:00:11.000000000,Absent
3,BowMCVfKqn,2215SEW4680,"( 10:59:06 AM,  12:03:49 PM, 1:04:43)",0 days 01:04:43.000000000,Present
4,BqaYnsssOG,4465GPE0982,"( 11:16:00 AM,  12:30:00 PM, 1:14:00)",0 days 01:14:00.000000000,Present
5,CENUJlflMr,6174IFB4290,"( 10:56:12 AM,  10:59:05 AM, 0:02:53)( 10:59:06 AM,  12:25:03 PM, 1:25:57)",0 days 01:28:50.000000000,Present
6,CkOdgipurk,9264WTW7119,"( 11:04:03 AM,  11:38:12 AM, 0:34:09)( 11:51:34 AM,  12:09:48 PM, 0:18:14)( 12:18:24 PM,  12:25:10 PM, 0:06:46)",0 days 00:59:09.000000000,Present
7,DeKThdfHPS,3698HFP8237,"( 10:56:12 AM,  10:57:27 AM, 0:01:15)( 10:57:47 AM,  10:59:05 AM, 0:01:18)( 10:59:06 AM,  11:13:19 AM, 0:14:13)",0 days 00:16:46.000000000,Absent
8,DiJEdoMSYE,3045XOA6936,"( 11:12:16 AM,  12:30:00 PM, 1:17:44)",0 days 01:17:44.000000000,Present
9,DpchnMBfah,2661RRC7034,"( 11:07:27 AM,  12:24:57 PM, 1:17:30)",0 days 01:17:30.000000000,Present
10,DyAoYplcCG,,"( 10:57:43 AM,  10:57:57 AM, 0:00:14)( 10:58:14 AM,  10:58:18 AM, 0:00:04)( 10:59:29 AM,  12:25:08 PM, 1:25:39)",0 days 01:25:57.000000000,Present
11,EOmIqRXRDu,0115BGU9510,"( 10:59:39 AM,  12:24:43 PM, 1:25:04)",0 days 01:25:04.000000000,Present
12,EfDdKvncCb,1384TTH8561,"( 10:56:12 AM,  11:05:05 AM, 0:08:53)( 11:03:54 AM,  12:24:36 PM, 1:20:42)",0 days 01:29:35.000000000,Present
13,EjHmZUIlLi,1144GAR3665,"( 11:18:06 AM,  11:23:05 AM, 0:04:59)( 11:29:12 AM,  11:33:57 AM, 0:04:45)",0 days 00:09:44.000000000,Absent
